Time,Open,Close,High,Low,Volume
2017-04-24,1450000.0,1448000.0,1455000.0,1444000.0,5544.87058819
2017-04-25,1448000.0,1454000.0,1459000.0,1445000.0,5529.48077632
2017-04-26,1454000.0,1457000.0,1468000.0,1453000.0,6736.68049324
2017-04-27,1459000.0,1475000.0,1476000.0,1455000.0,10277.15324777
2017-04-28,1475000.0,1480000.0,1503000.0,1468000.0,11699.19485424
2017-04-29,1480000.0,1491000.0,1500000.0,1457000.0,9676.11038222
2017-04-30,1491000.0,1518000.0,1519000.0,1486000.0,5760.40133925
2017-05-01,1518000.0,1635000.0,1650000.0,1516000.0,10655.78946179
2017-05-02,1634000.0,1700000.0,1739000.0,1631000.0,13829.757613
2017-05-03,1700000.0,1696000.0,1734000.0,1674000.0,8387.97989392
2017-05-04,1696000.0,1813000.0,1879000.0,1695000.0,14191.22922806
2017-05-05,1812000.0,1997000.0,2140000.0,1800000.0,22473.54838496
2017-05-06,1997000.0,1902000.0,2002000.0,1841000.0,12406.28532111
2017-05-07,1902000.0,1912000.0,1957000.0,1890000.0,7145.33879281
2017-05-08,1915000.0,2083000.0,2099000.0,1910000.0,15934.02410536
2017-05-09,2083000.0,2306000.0,2588000.0,2074000.0,24111.97831338
2017-05-10,2307000.0,2261000.0,2350000.0,2110000.0,17619.06163478
2017-05-11,2263000.0,2352000.0,2420000.0,2200000.0,18972.80567464
2017-05-12,2353000.0,2293000.0,2399000.0,2266000.0,14619.41983158
2017-05-13,2289000.0,2231000.0,2304000.0,2130000.0,16254.49561374
2017-05-14,2233000.0,2285000.0,2319000.0,2226000.0,10101.68990687
2017-05-15,2283000.0,2152000.0,2285000.0,2097000.0,15476.18236073
2017-05-16,2152000.0,2173000.0,2210000.0,2111000.0,15191.03777581
2017-05-17,2170000.0,2266000.0,2294000.0,2166000.0,13752.18206577
2017-05-18,2266000.0,2269000.0,2287000.0,2225000.0,11514.87957607
2017-05-19,2270000.0,2373000.0,2385000.0,2241000.0,13916.03063653
2017-05-20,2370000.0,2471000.0,2587000.0,2350000.0,13388.10672896
2017-05-21,2470000.0,2613000.0,2650000.0,2467000.0,11787.82311298
2017-05-22,2613000.0,3093000.0,3300000.0,2592000.0,26217.89251046
2017-05-23,3093000.0,3161000.0,3281000.0,2966000.0,20507.69423658
2017-05-24,3161000.0,3540000.0,3619000.0,3100000.0,22705.77749454
2017-05-25,3540000.0,4681000.0,4840000.0,3535000.0,33338.34321505
2017-05-26,4681000.0,3525000.0,4682000.0,3102000.0,32605.76225314
2017-05-27,3525000.0,2809000.0,3562000.0,2460000.0,34568.50369712
2017-05-28,2808000.0,3013000.0,3400000.0,2762000.0,21817.3453467
2017-05-29,3018000.0,3089000.0,3198000.0,2903000.0,15081.83882199
2017-05-30,3089000.0,3142000.0,3340000.0,3065000.0,18933.41198542
2017-05-31,3140000.0,2996000.0,3210000.0,2963000.0,18138.38446633
2017-06-01,3000000.0,3119000.0,3158000.0,2996000.0,19011.14163146
2017-06-02,3119000.0,3083000.0,3157000.0,3053000.0,19371.93362226
2017-06-03,3083000.0,3105000.0,3196000.0,3000000.0,14844.92468082
2017-06-04,3105000.0,3070000.0,3150000.0,3060000.0,10130.2823967
2017-06-05,3070000.0,3098000.0,3101000.0,3053000.0,10293.83583239
2017-06-06,3095000.0,3326000.0,3449000.0,3075000.0,31444.78800125
2017-06-07,3327000.0,3305000.0,3390000.0,3253000.0,14192.72971069
2017-06-08,3305000.0,3210000.0,3309000.0,3161000.0,18846.56663871
2017-06-09,3210000.0,3310000.0,3335000.0,3196000.0,12579.08072021
2017-06-10,3309000.0,3307000.0,3336000.0,3238000.0,14545.91786182
2017-06-11,3306000.0,3272000.0,3319000.0,3235000.0,16925.88668431
2017-06-12,3270000.0,3274000.0,3395000.0,3251000.0,19541.36777003
2017-06-13,3274000.0,3211000.0,3281000.0,3101000.0,21152.82312117
2017-06-14,3202000.0,3152000.0,3235000.0,3105000.0,17294.45602335
2017-06-15,3152000.0,2880000.0,3153000.0,2675000.0,30165.24303505
2017-06-16,2880000.0,3024000.0,3084000.0,2814000.0,18357.22521401
2017-06-17,3025000.0,3154000.0,3221000.0,3013000.0,13979.40521127
2017-06-18,3154000.0,3155000.0,3250000.0,3120000.0,13939.00008074
2017-06-19,3155000.0,3198000.0,3213000.0,3148000.0,12855.43127215
2017-06-20,3199000.0,3297000.0,3300000.0,3196000.0,16148.1220173
2017-06-21,3299000.0,3437000.0,3545000.0,3297000.0,32516.23440317
2017-06-22,3438000.0,3435000.0,3476000.0,3280000.0,19520.21408449
2017-06-23,3435000.0,3445000.0,3494000.0,3400000.0,15285.57841197
2017-06-24,3446000.0,3394000.0,3483000.0,3340000.0,11763.31301669
2017-06-25,3395000.0,3414000.0,3435000.0,3304000.0,9902.31453487
2017-06-26,3414000.0,3251000.0,3450000.0,3250000.0,14837.73074083
2017-06-27,3250000.0,3005000.0,3294000.0,2889000.0,19924.41841542
2017-06-28,3000000.0,3088000.0,3187000.0,2970000.0,19758.54213502
2017-06-29,3084000.0,3063000.0,3179000.0,3030000.0,15626.71106735
2017-06-30,3068000.0,3087000.0,3121000.0,3050000.0,11970.98273211
2017-07-01,3087000.0,3050000.0,3124000.0,3012000.0,9474.13063874
2017-07-02,3050000.0,2999000.0,3080000.0,2929000.0,9745.53865123
2017-07-03,2999000.0,3092000.0,3139000.0,2990000.0,11720.4936592
2017-07-04,3093000.0,3126000.0,3168000.0,3017000.0,13697.08392004
2017-07-05,3128000.0,3100000.0,3150000.0,3042000.0,11089.94612855
2017-07-06,3100000.0,3108000.0,3127000.0,3078000.0,7474.54126961
2017-07-07,3108000.0,3062000.0,3129000.0,3040000.0,8793.68550128
2017-07-08,3063000.0,3054000.0,3093000.0,2931000.0,9223.34121101
2017-07-09,3056000.0,3048000.0,3098000.0,3030000.0,4774.52838981
2017-07-10,3048000.0,2980000.0,3068000.0,2977000.0,7550.8908551
2017-07-11,2980000.0,2843000.0,3000000.0,2705000.0,17634.75636443
2017-07-12,2841000.0,2829000.0,2898000.0,2789000.0,10469.6045521
2017-07-13,2830000.0,2831000.0,2940000.0,2804000.0,12853.06922449
2017-07-14,2831000.0,2731000.0,2851000.0,2722000.0,10740.12436715
2017-07-15,2732000.0,2202000.0,2732000.0,2150000.0,16629.07866292
2017-07-16,2203000.0,2042000.0,2429000.0,1800000.0,21348.36467532
2017-07-17,2042000.0,2356000.0,2387000.0,2031000.0,19342.26648299
2017-07-18,2359000.0,2738000.0,2760000.0,2281000.0,29183.92650808
2017-07-19,2738000.0,2710000.0,2830000.0,2580000.0,25373.315075
2017-07-20,2713000.0,2871000.0,2950000.0,2510000.0,25606.9316869
2017-07-21,2873000.0,3039000.0,3399000.0,2820000.0,61232.34453019
2017-07-22,3059000.0,3082000.0,3197000.0,2916000.0,32825.98051058
2017-07-23,3082000.0,3068000.0,3141000.0,2980000.0,24220.27711543
